Periodico,Quantidade
"2021 IEEE International Conference on Sensing, Diagnostics, Prognostics, and Control (SDPC)",1
Proceedings of the 12th Annual Conference on Genetic and Evolutionary Computation,2
2020 AIAA/IEEE 39th Digital Avionics Systems Conference (DASC),7
2017 IEEE 4th International Conference Actual Problems of Unmanned Aerial Vehicles Developments (APUAVD),2
2019 8th Brazilian Conference on Intelligent Systems (BRACIS),1
Heritage,1
Advances in Engineering Software,3
2021 IEEE 94th Vehicular Technology Conference (VTC2021-Fall),6
2018 33rd Youth Academic Annual Conference of Chinese Association of Automation (YAC),1
2014 International Conference on Unmanned Aircraft Systems (ICUAS),3
"2015 15th International Conference on Control, Automation and Systems (ICCAS)",1
2020 International Conference on Unmanned Aircraft Systems (ICUAS),13
Proceedings of the 22nd International Conference on Information Integration and Web-Based Applications &amp; Services,1
Energy Conversion and Management,8
Journal of Computational Physics,1
2021 International Applied Computational Electromagnetics Society (ACES-China) Symposium,1
Journal of Cultural Heritage,10
Global Ecology and Conservation,1
2021 6th International Conference on Robotics and Automation Engineering (ICRAE),2
IEEE Sensors Journal,14
2017 9th International Conference on Knowledge and Systems Engineering (KSE),1
2018 23rd International Conference on Methods Models in Automation Robotics (MMAR),1
Biosystems Engineering,34
Journal of Rock Mechanics and Geotechnical Engineering,4
Journal of Bionic Engineering,4
Designs,1
"2020 4th International Conference on Imaging, Signal Processing and Communications (ICISPC)",1
"Engineering Science and Technology, an International Journal",6
"2021 IEEE International Conference on Communication, Networks and Satellite (COMNETSAT)",1
2021 IEEE International Conference on Robotics and Automation (ICRA),3
2018 IEEE International Symposium on Electromagnetic Compatibility and 2018 IEEE Asia-Pacific Symposium on Electromagnetic Compatibility (EMC/APEMC),1
2021 International Symposium on Computer Science and Intelligent Controls (ISCSIC),1
Atmosphere,6
Safety,2
Entropy,17
Applied Mathematics and Computation,18
Processes,8
2021 29th Telecommunications Forum (TELFOR),2
Construction and Building Materials,11
IEEE Transactions on Geoscience and Remote Sensing,18
Tunnelling and Underground Space Technology,3
2021 2nd International Conference on Artificial Intelligence in Electronics Engineering,1
2020 IEEE Eighth International Conference on Communications and Electronics (ICCE),1
2018 1st International Cognitive Cities Conference (IC3),1
Coatings,1
Proceedings of the 2010 Spring Simulation Multiconference,2
2019 53rd Annual Conference on Information Sciences and Systems (CISS),1
2018 2nd International Conference on Robotics and Automation Sciences (ICRAS),1
Proceedings of the 2013 International Workshop on Programming Models and Applications for Multicores and Manycores,1
Proceedings of the 18th Conference on Embedded Networked Sensor Systems,2
2018 Second IEEE International Conference on Robotic Computing (IRC),2
"Chaos, Solitons & Fractals",2
Proceedings of the International Conference on Geoinformatics and Data Analysis,2
2014 IEEE Symposium on Swarm Intelligence,1
2021 13th International Conference on Machine Learning and Computing,3
Egyptian Informatics Journal,1
Data,6
Journal of Manufacturing Systems,5
Heliyon,8
IEEE Transactions on Cybernetics,6
Forest Ecology and Management,11
Foods,3
Plant Science,7
NAECON 2018 - IEEE National Aerospace and Electronics Conference,3
Journal of Integrative Agriculture,10
Proceedings of the 3rd International Conference on Video and Image Processing,1
2016 International Conference on Unmanned Aircraft Systems (ICUAS),6
"2014 International Symposium on Power Electronics, Electrical Drives, Automation and Motion",1
2021 IEEE International Conference on Communications Workshops (ICC Workshops),7
2018 International Conference on Unmanned Aircraft Systems (ICUAS),7
2019 International Conference on Robotics and Automation (ICRA),6
2018 28th International Telecommunication Networks and Applications Conference (ITNAC),1
2021 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops),1
Proceedings of the 2019 3rd International Conference on Computer Science and Artificial Intelligence,1
2016 IEEE/AIAA 35th Digital Avionics Systems Conference (DASC),1
Procedia Engineering,12
Internet of Things,16
Proceedings of the 12th International Conference on Management of Digital EcoSystems,1
Progress in Aerospace Sciences,24
Operations Research Perspectives,1
Oceans,1
European Journal of Agronomy,13
Livestock Science,1
Advanced Engineering Informatics,17
Computer Methods and Programs in Biomedicine,3
Computers & Geosciences,9
2021 11th International Conference on Information Science and Technology (ICIST),1
Applied Thermal Engineering,2
Renewable Energy,10
Solar Energy,7
Journal of Manufacturing and Materials Processing,2
Advances in Animal Biosciences,5
Composite Structures,6
Journal of Hydrology,9
2017 IEEE International Conference on Unmanned Systems (ICUS),5
Micromachines,5
Energy and AI,3
Signal Processing,10
International Journal of Cognitive Computing in Engineering,1
Computer Science Review,7
Materials Today: Proceedings,24
Defence Technology,15
2020 International Symposium on Computer Engineering and Intelligent Communications (ISCEIC),1
Journal of Systems and Software,15
Robotics,19
2017 IEEE International Conference on Robotics and Biomimetics (ROBIO),3
2021 International Conference on Machine Vision and Applications,1
Proceedings of the Second International Workshop on the Swarm at the Edge of the Cloud,1
Proceedings of the 23rd International ACM Conference on 3D Web Technology,1
Information Processing & Management,1
2018 IEEE Global Communications Conference (GLOBECOM),4
Computers & Security,10
2011 3rd International Conference on Computer Research and Development,1
Proceedings of the 2019 Summer Simulation Conference,1
"2021 International Conference on Intelligent Transportation, Big Data Smart City (ICITBS)",2
Proceedings of the 2018 2nd International Conference on Computer Science and Artificial Intelligence,3
Mathematical and Computational Applications,1
IEEE Network,18
2021 IEEE 3rd International Multidisciplinary Conference on Engineering Technology (IMCET),1
Technologies,2
2021 IEEE International Conference on Signal and Image Processing Applications (ICSIPA),1
AASRI Procedia,2
"2019 16th Annual IEEE International Conference on Sensing, Communication, and Networking (SECON)",2
2019 IEEE 7th International Conference on Computer Science and Network Technology (ICCSNT),2
Applied Acoustics,4
2021 7th International Conference on Systems and Informatics (ICSAI),1
Physica A: Statistical Mechanics and its Applications,10
Signal Processing: Image Communication,16
Proceedings of the 2020 4th International Conference on Electronic Information Technology and Computer Engineering,4
2019 Cybersecurity and Cyberforensics Conference (CCC),1
2018 International Conference on Information and Communication Technology Robotics (ICT-ROBOT),1
2021 IEEE International Conference on Data Science and Computer Application (ICDSCA),1
Journal of Process Control,2
2019 International Conference on Unmanned Aircraft Systems (ICUAS),10
IEEE Communications Surveys Tutorials,8
Information Processing in Agriculture,13
2021 7th International Conference on Computing and Artificial Intelligence,3
2018 IEEE 4th Information Technology and Mechatronics Engineering Conference (ITOEC),1
Journal of Manufacturing Processes,2
Cognitive Robotics,3
Proceedings of the 2019 7th International Conference on Information Technology: IoT and Smart City,1
Renewable and Sustainable Energy Reviews,15
Machines,14
2019 3rd International Symposium on Autonomous Systems (ISAS),1
Computers in Industry,11
Swarm and Evolutionary Computation,17
Computer Speech & Language,1
Applied Geography,2
Blockchain: Research and Applications,1
Journal of Applied Logic,1
2016 8th Euro American Conference on Telematics and Information Systems (EATIS),1
Proceedings of the 41st International Conference on Software Engineering,1
Environmental Modelling & Software,3
Journal of Management Science and Engineering,1
International Journal of Hospitality Management,1
Engineering Structures,2
International Journal of Electrical Power & Energy Systems,9
Journal of Terramechanics,1
2021 33rd Chinese Control and Decision Conference (CCDC),6
Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,1
ACM Trans. Knowl. Discov. Data,1
2020 IEEE 6th International Conference on Computer and Communications (ICCC),8
China Communications,9
2017 New York Scientific Data Summit (NYSDS),1
2017 International Multi-topic Conference (INMIC),1
IEEE Robotics and Automation Letters,13
2020 IEEE USNC-CNC-URSI North American Radio Science Meeting (Joint with AP-S Symposium),2
2021 IEEE 6th International Conference on Computer and Communication Systems (ICCCS),1
2019 IEEE 9th Annual Computing and Communication Workshop and Conference (CCWC),2
2020 5th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS),2
Proceedings of the Workshop on Benchmarking Cyber-Physical Systems and Internet of Things,1
Artificial Intelligence,6
IEEE Transactions on Industrial Electronics,4
2016 International Joint Conference on Neural Networks (IJCNN),2
Proceedings of the 23rd IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications,2
IEEE Transactions on Instrumentation and Measurement,5
IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,12
2020 Chinese Control And Decision Conference (CCDC),2
"2021 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)",1
Journal of Computational Science,15
Trends in Biotechnology,2
Earth-Science Reviews,12
IEEE Transactions on Vehicular Technology,49
Proceedings of the 2020 9th International Conference on Software and Computer Applications,1
2019 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-TW),1
7th Latin American Conference on Networked and Electronic Media (LACNEM 2017),1
2019 IEEE Fourth International Conference on Data Science in Cyberspace (DSC),1
Proceedings of the 12th ACM Conference on Embedded Network Sensor Systems,1
"2017 International Conference on Security, Pattern Analysis, and Cybernetics (SPAC)",1
ACM Trans. Sen. Netw.,5
2020 15th IEEE Conference on Industrial Electronics and Applications (ICIEA),1
2016 3rd International Conference on Information Science and Control Engineering (ICISCE),1
2019 International Joint Conference on Neural Networks (IJCNN),1
Sensors and Actuators A: Physical,5
2020 European Conference on Networks and Communications (EuCNC),2
Proceedings of the ACM/IFIP/USENIX 11th International Conference on Middleware,1
"2014 International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment and Management (HNICEM)",1
IEEE/CAA Journal of Automatica Sinica,3
IEEE Communications Magazine,5
IEEE Transactions on Network and Service Management,5
2017 27th International Telecommunication Networks and Applications Conference (ITNAC),1
2020 IEEE 92nd Vehicular Technology Conference (VTC2020-Fall),11
2020 IEEE 7th International Workshop on Metrology for AeroSpace (MetroAeroSpace),2
IEEE Transactions on Neural Networks and Learning Systems,13
2021 40th Chinese Control Conference (CCC),10
Neural Networks,14
Proceedings of the 22nd International Symposium on Distributed Simulation and Real Time Applications,1
2021 International Conference on Unmanned Aircraft Systems (ICUAS),14
"2013 Third International Conference on Instrumentation, Measurement, Computer, Communication and Control",1
2016 IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems (MFI),1
International Conference on Automatic Control and Artificial Intelligence (ACAI 2012),1
Acta Astronautica,14
European Journal of Control,9
2019 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),1
MILCOM 2018 - 2018 IEEE Military Communications Conference (MILCOM),1
"The 16th International Conference on Availability, Reliability and Security",2
"2019 IEEE International Conference on Industry 4.0, Artificial Intelligence, and Communications Technology (IAICT)",2
The 27th Chinese Control and Decision Conference (2015 CCDC),1
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",4
Vehicles,1
2017 11th Asian Control Conference (ASCC),1
2021 IEEE International Conference on Real-time Computing and Robotics (RCAR),1
Applied Mathematical Modelling,9
2021 European Conference on Mobile Robots (ECMR),1
IEEE/ASME Transactions on Mechatronics,3
IEEE Transactions on Circuits and Systems for Video Technology,2
IEEE Communications Letters,9
"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2
2016 12th IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications (MESA),1
2019 IEEE International Symposium on Robotic and Sensors Environments (ROSE),1
2020 12th International Conference on Intelligent Human-Machine Systems and Cybernetics (IHMSC),2
2017 Conference on Design and Architectures for Signal and Image Processing (DASIP),1
NeuroImage,1
2021 IEEE/AIAA 40th Digital Avionics Systems Conference (DASC),8
Polymers,2
Materials Science and Engineering: R: Reports,1
Additive Manufacturing,1
IEEE Transactions on Computers,2
Proceedings of the 2015 ACM on International Conference on Multimodal Interaction,1
Agricultural Systems,5
Journal of Advanced Research,1
Smart Cities,6
Composites Part B: Engineering,1
"Physics and Chemistry of the Earth, Parts A/B/C",2
Engineering,11
Journal of Environmental Radioactivity,2
Plants,13
Trends in Plant Science,10
Future Transportation,2
2015 Winter Simulation Conference (WSC),1
2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),4
